gem_id,gem_parent_id,concept_set_id,concepts,target,references
common_gen-validation-191,common_gen-validation-191,191,"['body', 'canoe', 'water']",a man sees the body of a boy in a canoe on the water,"['a man sees the body of a boy in a canoe on the water', 'The man lowers his body into the canoe to stay dry and out of the water.', 'The canoe floated in the body of water.', 'Kids in a canoe on a body of water']"
common_gen-validation-192,common_gen-validation-192,192,"['perform', 'performer', 'stage']",The performer performed on stage.,"['The performer performed on stage.', 'The performer performs very nicely and wisely using the complete stage and gets the applause of the audience.', 'a performer is performing on the stage', 'a performers perform on stage']"
common_gen-validation-193,common_gen-validation-193,193,"['ball', 'side', 'throw']",A man throws a ball to the side.,"['A man throws a ball to the side.', 'A boy throws a ball at the side of a building.', 'The man throws the ball to the side.', 'each sides takes turns throwing and dodging each others balls.']"
common_gen-validation-194,common_gen-validation-194,194,"['pull', 'raft', 'water']",The man pulled the raft out of the water.,"['The man pulled the raft out of the water.', 'The little boy pulled his little raft into the water with his little dog and floated down the river.', 'someone pulls a raft into the water.']"
common_gen-validation-195,common_gen-validation-195,195,"['hold', 'sit', 'tree']",I sat at the base of the tree and held my book in front of me.,"['I sat at the base of the tree and held my book in front of me.', 'A boy was holding an apple while he was sitting near the tree', 'A boy sits under a tree holding a book.', 'monkey sitting in a tree holding a cat']"
common_gen-validation-196,common_gen-validation-196,196,"['dig', 'plant', 'tree']",Dig the dirt and plant the tree.,"['Dig the dirt and plant the tree.', 'the woman digs the soil, to plant the tree.', 'A boy dug in the ground to plant a tree.', 'A man digs a hole to plant a tree.']"
common_gen-validation-197,common_gen-validation-197,197,"['cut', 'hair', 'style']",The boy in the chair is getting a hair cut as he wanted a new style.,"['The boy in the chair is getting a hair cut as he wanted a new style.', 'The barber cuts hair and has a keen sense of style.', ""The hair stylist cut the customer's hair to the desired style."", 'A stylist cuts his hair into a new style.']"
common_gen-validation-198,common_gen-validation-198,198,"['ball', 'kid', 'toss']",The kid tossed the ball across the court.,"['The kid tossed the ball across the court.', 'A kid tossed a ball to her friend.', 'kid alway tossing the ball at the park', 'Two kids are tossing a ball.']"
common_gen-validation-199,common_gen-validation-199,199,"['tool', 'wood', 'work']",A woodworker uses a tool to work on wood and make sculptures.,"['A woodworker uses a tool to work on wood and make sculptures.', 'The man has to get his tools to work on the wood.', 'working tools of the wood']"
common_gen-validation-200,common_gen-validation-200,200,"['jump', 'pile', 'run']",The boy ran and jumped into the pile of leaves.,"['The boy ran and jumped into the pile of leaves.', 'A girl run runs and jumps in the pile of leaves.', 'A man runs and then jumps into a pile of sand.']"
common_gen-validation-201,common_gen-validation-201,201,"['floor', 'shirt', 'sit']","Her shirt fell to the floor, in the place that I usually sit.","['Her shirt fell to the floor, in the place that I usually sit.', 'I went to sit on the floor and noticed a stain on my shirt', 'A boy with a red shirt is asked to sit on the floor', 'A young child is sitting in the floor folding a shirt.']"
common_gen-validation-202,common_gen-validation-202,202,"['paper', 'read', 'table']",the man read the paper sitting at the table.,"['the man read the paper sitting at the table.', 'The girl read the note on the paper on that table.', 'The boy read the paper that was on the table.', 'Two men are sitting at a table reading the paper.']"
common_gen-validation-203,common_gen-validation-203,203,"['food', 'restaurant', 'table']",The food was served on the table at the restaurant.,"['The food was served on the table at the restaurant.', 'table set for food inside a restaurant']"
common_gen-validation-204,common_gen-validation-204,204,"['bow', 'hold', 'shoot']",I held the bow waiting to shoot.,"['I held the bow waiting to shoot.', 'An archer must hold a bow correctly in order to shoot the target.', 'The man holds an arrow in the bow and then shoots it.']"
common_gen-validation-205,common_gen-validation-205,205,"['crowd', 'team', 'watch']",The crowd watched the soccer team play the game.,"['The crowd watched the soccer team play the game.', 'The crowd watched the team.', 'As the crowd watched carefully at the team playing', 'The security team watches the crowd.']"
common_gen-validation-206,common_gen-validation-206,206,"['beach', 'bikini', 'volleyball']",A woman wearing a bikini plays volleyball on the beach.,"['A woman wearing a bikini plays volleyball on the beach.', 'A woman wearing a bikini plays volleyball on the beach.', 'playing beach volleyball on my bikini is my favorite thing for the summer', 'Girls in bikinis playing volleyball on the beach.']"
common_gen-validation-207,common_gen-validation-207,207,"['hand', 'hold', 'wood']",The girl held the wood in her hand.,"['The girl held the wood in her hand.', 'The wood felt soft when the girl held it in her hand.', 'A mean looking person whose hand has a bat made of wood could hold people in suspense.', 'couple holding hands in the woods']"
common_gen-validation-208,common_gen-validation-208,208,"['front', 'grass', 'stand']",She stood in front of the grass.,"['She stood in front of the grass.', 'In front of the house is where the grass is standing', 'The man was standing on the grass in his front yard.', 'cows standing in front of a herd in the grass']"
common_gen-validation-209,common_gen-validation-209,209,"['ski', 'snow', 'stand']","I stood at the Midi-Pyrenees ski resort and came down skiing as snow hit my face, gently wetting it.","['I stood at the Midi-Pyrenees ski resort and came down skiing as snow hit my face, gently wetting it.', 'I stood with my skis in the snow, ready to go down the mountain.', 'The man was standing in line to ski on the snow.', 'A guy stands on skis in the snow. ']"
common_gen-validation-210,common_gen-validation-210,210,"['item', 'look', 'store']",The boy looked at some items in the store.,"['The boy looked at some items in the store.', 'I looked at the item at the grocery store.', 'He looks for a specific item at the store, but can not find it.', 'A woman looking at items in a store.']"
common_gen-validation-211,common_gen-validation-211,211,"['hand', 'shake', 'talk']",talk but dont shake your hand,"['talk but dont shake your hand', 'A boy could talk or shake their hand.', 'The men shake hands and talk after the match.']"
common_gen-validation-212,common_gen-validation-212,212,"['keyboard', 'room', 'sit']",He would sit alone in his room with his keyboard.,"['He would sit alone in his room with his keyboard.', 'The student sits in his room, typing with his keyboard.', 'The new keyboard was sitting idle unused in the store room.', 'A boy sits down at a keyboard in a room.']"
common_gen-validation-213,common_gen-validation-213,213,"['cut', 'forest', 'wood']",Cutting the forest will get re off the woods,"['Cutting the forest will get re off the woods', 'The workers cut the forest down, as they needed wood to build houses.', 'The man cuts wood in the forest.', 'man cutting woods in a forest']"
common_gen-validation-214,common_gen-validation-214,214,"['band', 'dance', 'music']",The girl will dance when the band plays music.,"['The girl will dance when the band plays music.', 'The band plays music for people to dance to.', 'The band played music  and the couples danced.', 'An elderly couple dances to the music of a uniformed band.']"
common_gen-validation-215,common_gen-validation-215,215,"['dog', 'leash', 'street']",The dog is walking down the street on a leash.,"['The dog is walking down the street on a leash.', 'Without a leash, the dog ran from the side of the street and into the busy traffic.', 'Two dogs on a leash are at a street fair.']"
common_gen-validation-216,common_gen-validation-216,216,"['look', 'stand', 'wait']",The little brother had to stand and wait while the older sister looked for their parents.,"['The little brother had to stand and wait while the older sister looked for their parents.', 'The man hand an impatient look as he had to stand and wait for service', 'The guard stands silently at his post, and he looks around and waits for something to happen.', 'Someone stands and looks as the group waits expectantly.']"
common_gen-validation-217,common_gen-validation-217,217,"['dog', 'hold', 'water']",The man hold the dog while getting water.,"['The man hold the dog while getting water.', 'The dog owner is holding water', 'A bowl can hold water for a dog.', 'A dog holds an object in the water.']"
common_gen-validation-218,common_gen-validation-218,218,"['ball', 'bounce', 'hit']",The ball hit the wall and bounced off.,"['The ball hit the wall and bounced off.', 'The ball bounced and hit the car.', 'The man then bounces and hits one more ball.']"
common_gen-validation-219,common_gen-validation-219,219,"['restaurant', 'set', 'table']",The waiter sets the table at the restaurant.,"['The waiter sets the table at the restaurant.', 'The tables are set at the restaurant.', 'The waiter set the restaurant table.', 'set tables at a restaurant']"
common_gen-validation-220,common_gen-validation-220,220,"['air', 'jump', 'trampoline']",Jump on the trampoline and fly in the air.,"['Jump on the trampoline and fly in the air.', 'He would jump on the trampoline high into the air.', 'The boy jumped into the air when playing on the trampoline.', 'A child jumping in the air on a trampoline.']"
common_gen-validation-221,common_gen-validation-221,221,"['jump', 'run', 'water']",A group of kids run and jump into the water.,"['A group of kids run and jump into the water.', 'A boy runs and jumps into the water.']"
common_gen-validation-222,common_gen-validation-222,222,"['day', 'ride', 'wave']",The teenager spent the day riding the ocean waves on his surfboard.,"['The teenager spent the day riding the ocean waves on his surfboard.', 'A surfer will ride a wave during the day.', 'The surfer rides waves every day.', 'A kid rides some waves on a nice day']"
common_gen-validation-223,common_gen-validation-223,223,"['lady', 'lift', 'weight']",The lady lifts up the weight.,"['The lady lifts up the weight.', 'The lady at the gym is lifting weights.']"
common_gen-validation-224,common_gen-validation-224,224,"['athlete', 'race', 'run']",The athlete will run a race.,"['The athlete will run a race.', 'The athlete runs a race.', 'The athlete was excited to run in this race.', 'athletes running in a race']"
common_gen-validation-225,common_gen-validation-225,225,"['middle', 'skateboard', 'street']",the skateboard is inthe middle of the street,"['the skateboard is inthe middle of the street', 'The man rode his skateboard in the middle of the street.', 'I saw a child ride a skateboard down the middle of the street yesterday.', 'Boys riding skateboards on the middle of a street.']"
common_gen-validation-226,common_gen-validation-226,226,"['couple', 'kid', 'room']",The couple in the room has a kid.,"['The couple in the room has a kid.', 'A couple of kids enter a room.', 'The couple sends the kid to his room.', 'A couple of kids sit in a room.']"
common_gen-validation-227,common_gen-validation-227,227,"['room', 'short', 'wear']",I like to wear pajamas when I watch short films in my room.,"['I like to wear pajamas when I watch short films in my room.', 'The girl chose to wear a short skirt before she left the room.', 'A boy wearing shorts is dancing inside a room.']"
common_gen-validation-228,common_gen-validation-228,228,"['outfit', 'perform', 'stage']",The artist and his band wearing crazy outfits was performing on the stage,"['The artist and his band wearing crazy outfits was performing on the stage', '7 dancers in white outfits performing on a black stage.']"
common_gen-validation-229,common_gen-validation-229,229,"['hold', 'net', 'water']",The net held only fish once the water drained out.,"['The net held only fish once the water drained out.', 'The fisherman held a net in the water to collect fish.', 'i look down as i hold the net over the water.', 'Man holding a net on his boat in the water.']"
common_gen-validation-230,common_gen-validation-230,230,"['fire', 'front', 'stand']","There was a fire in the front of building, the people were evacuated and had to stand outside.","['There was a fire in the front of building, the people were evacuated and had to stand outside.', 'A man stands in front of his house and watches a fire burn in his yard.', 'He stands in front of the fire.', 'A couple stands in front of the fire']"
common_gen-validation-231,common_gen-validation-231,231,"['dog', 'eat', 'park']",A dog went to the park and eats a treat.,"['A dog went to the park and eats a treat.', 'We will eat after we take the dog to the park.', 'A dog is eating in a park', 'people at a park eating hot dogs.']"
common_gen-validation-232,common_gen-validation-232,232,"['gym', 'machine', 'use']",The machine at the gym I wanted to use didn't work.,"[""The machine at the gym I wanted to use didn't work."", 'A gym member uses a fitness machine at the gym for a workout.', 'The man uses a machine at the gym.', 'A woman uses a machine at the gym.']"
common_gen-validation-233,common_gen-validation-233,233,"['car', 'front', 'street']",The girl parked her car on the side of the street in front of the house.,"['The girl parked her car on the side of the street in front of the house.', 'The car is parked at the front of the house, on the street.', 'The front of the car faces down the street.', 'front of car on street parked next']"
common_gen-validation-234,common_gen-validation-234,234,"['harness', 'wall', 'wear']",The man wears a harness as he climbs the rock wall.,"['The man wears a harness as he climbs the rock wall.', 'A harness that a horse can wear would be a nice decor to hang on the wall.', 'The woman hangs her harness on the wall when she is not wearing it.', 'Two people wearing harnesses attempt to climb a rock wall.']"
common_gen-validation-235,common_gen-validation-235,235,"['fix', 'hair', 'lady']",A lady fixes her hair.,"['A lady fixes her hair.', 'A lady fixes hair for a living.', 'The lady is fixing her hair with a comb.', ""A lady is fixing another lady's hair.""]"
common_gen-validation-236,common_gen-validation-236,236,"['floor', 'room', 'stand']","The tile floor in the room was broken, so the students could no longer stand on it.","['The tile floor in the room was broken, so the students could no longer stand on it.', ""The mother stands in the doorway of her son's messy room, and she can't see the floor."", 'A boy stands in the room while looking at the floor.', 'A bird standing on the floor in a room.']"
common_gen-validation-237,common_gen-validation-237,237,"['beard', 'chair', 'sit']",The man sits in a chair to trim his beard.,"['The man sits in a chair to trim his beard.', 'The man with a beard sat in the chair.', 'A man with a beard told the boy to sit down in a chair.', 'A man with a beard sits among orange chairs.']"
common_gen-validation-238,common_gen-validation-238,238,"['kid', 'walk', 'water']",The kid walked up to the water.,"['The kid walked up to the water.', 'The mothre walks to the kid to give him some water.', 'The kids took a walk to the water', 'the kids walk on water']"
common_gen-validation-239,common_gen-validation-239,239,"['hill', 'ride', 'rider']",The rider rides a sled down the hill.,"['The rider rides a sled down the hill.', 'The rider rides down the hill very fast.', 'The motorcross rider rides down the hill.']"
common_gen-validation-240,common_gen-validation-240,240,"['hold', 'microphone', 'sit']",The nervous singer chose to sit and hold the microphone.,"['The nervous singer chose to sit and hold the microphone.', ""a boy is sitting and he's holding a microphone"", 'The boy decided to sit on the stage and hold the microphone.', 'A girl sits on the floor holding a microphone.']"
common_gen-validation-241,common_gen-validation-241,241,"['chop', 'log', 'wood']",A man uses an ax to chop logs into fire wood.,"['A man uses an ax to chop logs into fire wood.', 'He is chopping wood behind a log.']"
common_gen-validation-242,common_gen-validation-242,242,"['bed', 'lay', 'room']",The girls goes to her room to lay in bed.,"['The girls goes to her room to lay in bed.', 'I laid in the bed on the right side of the room.', 'The student returns to her bed room and lays down.', 'A person lays in bed in a room.']"
common_gen-validation-243,common_gen-validation-243,243,"['clear', 'path', 'snow']",My dad was clearing the path after it snowed.,"['My dad was clearing the path after it snowed.', 'To clear a path, the snow needs to be shoveled.', 'The girl clears a path through the snow.', 'person clears a path with a snow']"
common_gen-validation-244,common_gen-validation-244,244,"['diver', 'ocean', 'swim']","A diver swims out of the ocean, back to shore.","['A diver swims out of the ocean, back to shore.', 'Two scuba divers swimming in the ocean.']"
common_gen-validation-245,common_gen-validation-245,245,"['paddle', 'raft', 'river']",A man paddles a raft down the river.,"['A man paddles a raft down the river.', 'The girl paddles down the river in her raft.', 'A girl paddles a raft down a river.', 'Several men paddle a raft down a river.']"
common_gen-validation-246,common_gen-validation-246,246,"['ball', 'throw', 'turn']",A player turns towards home plate and throws the ball.,"['A player turns towards home plate and throws the ball.', 'At the park a group of kids are playing a game of soft ball, and  A girl threw a ball striking out everyone on their turn.', 'Its our turn to throw the ball back.', 'a man throwing a ball vigorously and turning in circles']"
common_gen-validation-247,common_gen-validation-247,247,"['faucet', 'run', 'water']",The water was running from the faucet.,"['The water was running from the faucet.', 'water runs from a faucet']"
common_gen-validation-248,common_gen-validation-248,248,"['football', 'game', 'watch']",Every sunday there is a great football  game to watch  on tv,"['Every sunday there is a great football  game to watch  on tv', 'The people watched a game of football on the television.', 'The father and son watch the football game after dinner.', 'Adults are watching a game of football.']"
common_gen-validation-249,common_gen-validation-249,249,"['gym', 'press', 'weight']",The man is pressing weights at the gym.,"['The man is pressing weights at the gym.', 'The big man is in the gym and is bench pressing a lot of weight.', 'A girl presses weights at the gym.', 'A man bench presses some weight at the gym.']"
common_gen-validation-250,common_gen-validation-250,250,"['push', 'sit', 'swing']",The boy sits on the swing and his mother pushes him.,"['The boy sits on the swing and his mother pushes him.', 'Sit on the swing and push to start.', 'Sit on the swing and ill give you a push.', 'A little baby sits calmly while being pushed in a swing.']"
common_gen-validation-251,common_gen-validation-251,251,"['hand', 'turn', 'wash']",We need to wash our hands after we turn he screw driver.,"['We need to wash our hands after we turn he screw driver.', 'The lady turns her hand over to wash the other side.', 'The boy uses own to hand turn the button to wash the car,', 'A kid turns on the water and is washing his hands.']"
common_gen-validation-252,common_gen-validation-252,252,"['chair', 'mother', 'sit']",The mother sits on a chair.,"['The mother sits on a chair.', 'The mother sits in a chair.', 'My mother will sit in her chair all day.', 'A mother sitting on a chair holding her kitten.']"
common_gen-validation-253,common_gen-validation-253,253,"['pool', 'swim', 'wear']",A girl went to the pool in swim wear.,"['A girl went to the pool in swim wear.', 'The girls wear goggles when they go for a swim in the pool.', 'The girl wears a bikini when she wants to swim in the pool.', 'The boy is wearing his swim trunks at the pool.']"
common_gen-validation-254,common_gen-validation-254,254,"['cut', 'knife', 'sharpen']",The man sharpens his knife so he can cut an apple.,"['The man sharpens his knife so he can cut an apple.', 'The girl cut the apple with the sharpen knife.', 'I sharpened the knife and cut the vegetables.', 'A woman sharpens a knife in order to cut carrots.']"
common_gen-validation-255,common_gen-validation-255,255,"['car', 'seat', 'sleep']",The young girl slept in her seat as the car whizzed by the streetlights,"['The young girl slept in her seat as the car whizzed by the streetlights', 'The baby slept in its seat in the car.', 'I often sleep in the passenger seat of a car.', 'The boy is sleeping in the back seat of a car']"
common_gen-validation-256,common_gen-validation-256,256,"['shoe', 'teach', 'tie']",The mok teaches her child how to tie her shoes.,"['The mok teaches her child how to tie her shoes.', 'The mother taught the child how to tie a shoe.', 'The dad taught his son to tie his shoe.', 'A mom teaching her child to tie their shoe.']"
common_gen-validation-257,common_gen-validation-257,257,"['dog', 'pull', 'race']",dog pull out to first in the race,"['dog pull out to first in the race', 'The dog had to pull a sled during a race.', 'The boy pulled the dog from the race.', 'Two dogs pull a sled in a race.']"
common_gen-validation-258,common_gen-validation-258,258,"['indoor', 'sunglass', 'wear']",The blind man wears sunglasses indoors.,"['The blind man wears sunglasses indoors.', 'The girl wears her sunglasses indoors because the light is bright.', 'The boy was told not to wear sunglasses indoors.', 'Two women wear sunglasses indoors.']"
common_gen-validation-259,common_gen-validation-259,259,"['cut', 'hair', 'lady']",The lady cut my hair for donation.,"['The lady cut my hair for donation.', 'The lady at the barber shop cut the hair of the patient in the chair.', 'the boy sat in the chair so the lady could cut his hair', ""The lady is cutting somebody's hair.""]"
common_gen-validation-260,common_gen-validation-260,260,"['microphone', 'sing', 'song']",The woman sings her new song into the microphone.,"['The woman sings her new song into the microphone.', 'I held he microphone to sing my song loudly.', 'The vocalist grabbed the microphone to sing the song.', 'singer sings the song with a microphone .']"
common_gen-validation-261,common_gen-validation-261,261,"['card', 'game', 'shuffle']","To play this game, the cards first have to be shuffled.","['To play this game, the cards first have to be shuffled.', 'The man shuffled a deck of cards so the group could play a card game.', 'you need to shuffle the card to play the game', 'Someone is shuffleing a deck of card to play a game.']"
common_gen-validation-262,common_gen-validation-262,262,"['dance', 'outfit', 'stage']","A ballerina, wearing a pink outfit, dances on a stage.","['A ballerina, wearing a pink outfit, dances on a stage.', 'a women put on the outfit to preform her dance on stage.', 'The girl was dancing on stage in her new outfit.', 'Young girls in dancing outfits perform on a stage.']"
common_gen-validation-263,common_gen-validation-263,263,"['shoe', 'short', 'wear']",The short man wears brown shoes.,"['The short man wears brown shoes.', 'The time was cut short to see which shoes the girl wanted to wear.', 'the right shoes to wear with shorts']"
common_gen-validation-264,common_gen-validation-264,264,"['ground', 'sit', 'stand']",A few people in the ground were sitting while a few were standing.,"['A few people in the ground were sitting while a few were standing.', 'Children love to stand and sit on the ground.', 'A group of people standing and sitting on the ground.']"
common_gen-validation-265,common_gen-validation-265,265,"['blow', 'sit', 'smoke']",I sit at the campsite and blow the smoke from the fire away from my face.,"['I sit at the campsite and blow the smoke from the fire away from my face.', 'I will sit with my cigar in hand and blow smoke for pleasure.', 'The man sits on the chair and smokes, while the wind blows.', 'They are just sitting out relaxing blowing smoke.']"
common_gen-validation-266,common_gen-validation-266,266,"['guitar', 'sit', 'wear']",he wear's the guitar strap as he sits down.,"[""he wear's the guitar strap as he sits down."", 'The guitar player sits on the stage and wears a fancy watch.', 'The boy with the guitar is sitting on a stool wearing a cap.']"
common_gen-validation-267,common_gen-validation-267,267,"['bowl', 'peel', 'potato']",A girl peels some potatoes and then places them in a bowl.,"['A girl peels some potatoes and then places them in a bowl.', 'A woman put potato peels in a bowl.', 'After peeling the potato, the woman put it in a bowl.', 'A man peels a potato into a bowl.']"
common_gen-validation-268,common_gen-validation-268,268,"['kid', 'talk', 'walk']",Two kids talk as they walk down the hall.,"['Two kids talk as they walk down the hall.', 'The kid was told to talk while he walks.', 'When a kid is little, it is natural to learn how to talk and walk.', 'Two kids are walking together and talking while they walk.']"
common_gen-validation-269,common_gen-validation-269,269,"['paint', 'wall', 'worker']",The worker painted the wall white yesterday.,"['The worker painted the wall white yesterday.', 'The worker painted the wall alone using the blow sprayer.', 'The worker painted the wall yesterday.', 'The worker is painting the wall.']"
common_gen-validation-270,common_gen-validation-270,270,"['ground', 'sit', 'watch']",The young girl sits on the ground and watches her friends.,"['The young girl sits on the ground and watches her friends.', 'When the man sits on the ground he pulled out his watch to look at the time for his bus.', 'Ground flood alway be sitting so the peaople in the back can watch the show', 'A dog watching TV while sitting on the ground.']"
common_gen-validation-271,common_gen-validation-271,271,"['bed', 'book', 'sit']",as he sits on his bed he reads his book quietly,"['as he sits on his bed he reads his book quietly', 'Betty sat in the bed and read her book.', 'bet bed book is reading while sit', 'An book is sitting open on a bed.']"
common_gen-validation-272,common_gen-validation-272,272,"['field', 'player', 'talk']",The football player liked to talk a lot while on the field,"['The football player liked to talk a lot while on the field', 'At the baseball game, my daughter was able to talk to the player in center field.', 'When the players are on the field talking to each other is needed for the best results.', 'shot of players talking on the field']"
common_gen-validation-273,common_gen-validation-273,273,"['cliff', 'climb', 'top']",The boy climbed to the top of the cliff.,"['The boy climbed to the top of the cliff.', 'The woman climbed to the top of the cliff and took in the scenery.', 'The man feared what he would find when he climbed to the top of the mountain and looked over the cliff.', 'A person is climbing to the top of a rock cliff.']"
common_gen-validation-274,common_gen-validation-274,274,"['field', 'goal', 'score']",The goal of soccer players playing in the field is to score.,"['The goal of soccer players playing in the field is to score.', 'The man score a field goal for a win.', 'We were playing on the soccer field trying to score a goal.', 'one boy scores a goal against his friend on the soccer field']"
common_gen-validation-275,common_gen-validation-275,275,"['brush', 'scrub', 'shoe']",The man used the brush to scrub his shoe.,"['The man used the brush to scrub his shoe.', 'A boy used a brush to scrub his shoes.', 'A man will scrub his shoe with a brush.', 'He scrubs the shoe with a brush.']"
common_gen-validation-276,common_gen-validation-276,276,"['hold', 'sit', 'smile']",Sit there and hold that smile while I take your picture.,"['Sit there and hold that smile while I take your picture.', 'The little girl holding the ice cream sat beside me and smiled.', 'For a great picture  hold sit and smile', 'A woman sits on a bus smiling holding a dog.']"
common_gen-validation-277,common_gen-validation-277,277,"['side', 'sit', 'table']",The man sits at the side of the table.,"['The man sits at the side of the table.', 'The man sits at the table waiting to receive his side.', 'There is a small stool by the side of table for a person to sit.', 'side now sit fifth in the table']"
common_gen-validation-278,common_gen-validation-278,278,"['cup', 'hold', 'talk']",I held the cup of coffee while i talked to my wife,"['I held the cup of coffee while i talked to my wife', 'I held the cup while we talked.', 'The women held cups while talking.', 'The man holds up a coffee cup while talking.']"
common_gen-validation-279,common_gen-validation-279,279,"['kid', 'park', 'swing']",The kid loves to swing at the park.,"['The kid loves to swing at the park.', 'The kid went on the swing in the park.', 'It is always fun to swing a kid in the park.', 'Kids are on the swings at the park.']"
common_gen-validation-280,common_gen-validation-280,280,"['music', 'perform', 'watch']",The girls will watch the band perform the music.,"['The girls will watch the band perform the music.', 'The students performed in a music program while their teacher watched.', 'Two men perform music while people watch.']"
common_gen-validation-281,common_gen-validation-281,281,"['distance', 'look', 'stand']","If you stand here and look the farthest distance you can, past the mountain, you will see the flying eagle.","['If you stand here and look the farthest distance you can, past the mountain, you will see the flying eagle.', 'A woman stands on top of a mountain and looks into the distance.', 'Hunter stood on the sturdy stump to look into the distance.', 'man standing looking at stars in the distance']"
common_gen-validation-282,common_gen-validation-282,282,"['drape', 'shoulder', 'snake']",The snake handler draped the python over his shoulder.,"['The snake handler draped the python over his shoulder.', 'The zookeeper had a snake draped over his shoulders.', ""The snake fell from the drape onto the boy's shoulder."", ""The snake is draped over the man's shoulders.""]"
common_gen-validation-283,common_gen-validation-283,283,"['cheer', 'crowd', 'performance']",The crowd will cheer the performance.,"['The crowd will cheer the performance.', 'The large crowd cheered after the stellar performance.', 'The people in the crowd cheers at the performance.', 'A crowd cheers for a performance.']"
common_gen-validation-284,common_gen-validation-284,284,"['audience', 'guitar', 'stage']",The teenager wows the audience by playing his guitar on stage at the talent show.,"['The teenager wows the audience by playing his guitar on stage at the talent show.', 'A talented person with a guitar on the stage will amuse the audience.', 'Some men with guitars are on stage before a small audience.']"
common_gen-validation-285,common_gen-validation-285,285,"['ball', 'court', 'kid']",The young kid hit the ball into the opponents court.,"['The young kid hit the ball into the opponents court.', 'The kid was playing with the ball on the court.', 'Two kids are playing basket ball in a court']"
common_gen-validation-286,common_gen-validation-286,286,"['dance', 'kid', 'stage']",The kid dances on the stage.,"['The kid dances on the stage.', 'The kid danced on the stage.', 'The kid went into his dance routing on the stage', 'kids are dancing in the crowded stage.']"
common_gen-validation-287,common_gen-validation-287,287,"['compete', 'crowd', 'front']",The crowd competed who will be in the front,"['The crowd competed who will be in the front', 'She felt the need to compete, so she pushed her way to the front of the crowd.', 'Sports players are competing in front of a crowd.']"
common_gen-validation-288,common_gen-validation-288,288,"['cross', 'river', 'rock']",You can cross the river on he rocks.,"['You can cross the river on he rocks.', 'You will have to cross the river to get to the rock.', 'The boy stepped over the rocks to try and cross the river', 'Two people are using rocks to cross a river.']"
common_gen-validation-289,common_gen-validation-289,289,"['game', 'player', 'shot']",A player makes the final shot and wins the game.,"['A player makes the final shot and wins the game.', 'cricket player plays a shot during game .']"
common_gen-validation-290,common_gen-validation-290,290,"['hold', 'stand', 'watch']",The boy holds a cup while he stands and watches the game.,"['The boy holds a cup while he stands and watches the game.', 'Nearby, someone holds drinks and stands watching them.']"
common_gen-validation-291,common_gen-validation-291,291,"['gear', 'wear', 'weld']",The man has to wear the right gear while welding.,"['The man has to wear the right gear while welding.', 'The girl wore the correct safety gear before starting to weld.', 'The man will wear his weld gear to the shop for his projects today.', 'The man is not wearing protective gear while welding.']"
common_gen-validation-292,common_gen-validation-292,292,"['catch', 'ocean', 'surfer']",The surfer went to the ocean to catch a wave to surf.,"['The surfer went to the ocean to catch a wave to surf.', 'The surfer went out into the ocean to catch a wave.', 'The surfer will catch a wave in the ocean.', 'A surfer catches a wave in the ocean.']"
common_gen-validation-293,common_gen-validation-293,293,"['boat', 'carry', 'water']",The large boat carried items or water.,"['The large boat carried items or water.', 'The man carried his tools onto the boat, to protect it from the water.', 'The boat carries supplies across the water.', 'A boat carrying a boy on the water']"
common_gen-validation-294,common_gen-validation-294,294,"['give', 'presentation', 'room']",The woman commands the room while she gives her presentation.,"['The woman commands the room while she gives her presentation.', 'The room was silent as the girl gave her presentation.', 'the boy gave his presentation in the room', 'man giving presentation in dark room']"
common_gen-validation-295,common_gen-validation-295,295,"['apply', 'plaster', 'wall']",The worker applied plaster to the wall.,"['The worker applied plaster to the wall.', 'The worker was to apply plaster to the wall to fix it.', 'The painters apply plaster to the wall.', 'The man applies plaster to the wall.']"
common_gen-validation-296,common_gen-validation-296,296,"['guitar', 'shirt', 'singe']",The guitar player singed his shirt,"['The guitar player singed his shirt', 'A man holding a guitar drops a lit cigarette and singes his shirt.', 'A man in a plaid shirt is singing and playing the guitar.']"
common_gen-validation-297,common_gen-validation-297,297,"['ball', 'ground', 'roll']",Let's roll the ball on the ground.,"[""Let's roll the ball on the ground."", 'A child watched the ball roll along the ground', 'A person rolled a ball on the ground.', 'People roll up snow from the ground to form large balls.']"
common_gen-validation-298,common_gen-validation-298,298,"['lady', 'paint', 'picture']",A man painted a picture of a beautiful lady,"['A man painted a picture of a beautiful lady', 'The lady paints a beautiful picture.', 'The artist paints a picture of a lady.', 'A lady is painting a picture']"
common_gen-validation-299,common_gen-validation-299,299,"['crowd', 'game', 'player']",A woman enjoys a game where there is a player and a crowd.,"['A woman enjoys a game where there is a player and a crowd.', 'the crowd cheers the player during the game', 'football players in the crowd for the game']"
common_gen-validation-300,common_gen-validation-300,300,"['kid', 'look', 'shirt']",Kid look at the shirts  at the store,"['Kid look at the shirts  at the store', 'A kid looks at an expensive shirt.', 'A kid looks for a shirt.', 'a kid with a yellow shirt on looking']"
common_gen-validation-301,common_gen-validation-301,301,"['shore', 'stand', 'water']",I stand by the shore near the water.,"['I stand by the shore near the water.', 'The people stood of the sea shore to dip their feet in the water.', 'A woman stands by the lake shore as the water splashes her feet.', 'Birds are standing on the shore near water.']"
